date,plastic_price,satuan,sumber,metode
2025-10-15,6895,CNY/T,TradingEconomics,highcharts
2025-10-16,6889,CNY/T,TradingEconomics,highcharts
2025-10-17,6868,CNY/T,TradingEconomics,highcharts
2025-10-20,6890,CNY/T,TradingEconomics,highcharts
2025-10-21,6865,CNY/T,TradingEconomics,highcharts
2025-10-22,6908,CNY/T,TradingEconomics,highcharts
2025-10-23,6952,CNY/T,TradingEconomics,highcharts
2025-10-24,6955,CNY/T,TradingEconomics,highcharts
2025-10-27,6966,CNY/T,TradingEconomics,highcharts
2025-10-28,6973,CNY/T,TradingEconomics,highcharts
2025-10-29,6953,CNY/T,TradingEconomics,highcharts
2025-10-30,6961,CNY/T,TradingEconomics,highcharts
2025-10-31,6914,CNY/T,TradingEconomics,highcharts
2025-11-03,6874,CNY/T,TradingEconomics,highcharts
2025-11-04,6848,CNY/T,TradingEconomics,highcharts
2025-11-05,6798,CNY/T,TradingEconomics,highcharts
2025-11-06,6748,CNY/T,TradingEconomics,highcharts
2025-11-07,6776,CNY/T,TradingEconomics,highcharts
2025-11-10,6759,CNY/T,TradingEconomics,highcharts
2025-11-11,6774,CNY/T,TradingEconomics,highcharts
2025-11-12,6769,CNY/T,TradingEconomics,highcharts
2025-11-13,6774,CNY/T,TradingEconomics,highcharts
2025-11-14,6860,CNY/T,TradingEconomics,highcharts
2025-11-17,6850,CNY/T,TradingEconomics,highcharts
2025-11-18,6818,CNY/T,TradingEconomics,highcharts
2025-11-19,6813,CNY/T,TradingEconomics,highcharts
2025-11-20,6814,CNY/T,TradingEconomics,highcharts
2025-11-21,6805,CNY/T,TradingEconomics,highcharts
2025-11-24,6781,CNY/T,TradingEconomics,highcharts
2025-11-25,6796,CNY/T,TradingEconomics,highcharts
2025-11-26,6740,CNY/T,TradingEconomics,highcharts
2025-11-27,6715,CNY/T,TradingEconomics,highcharts
2025-11-28,6746,CNY/T,TradingEconomics,highcharts
2025-12-01,6799,CNY/T,TradingEconomics,highcharts
2025-12-02,6821,CNY/T,TradingEconomics,highcharts
2025-12-03,6812,CNY/T,TradingEconomics,highcharts
2025-12-04,6783,CNY/T,TradingEconomics,highcharts
2025-12-05,6711,CNY/T,TradingEconomics,highcharts
2025-12-08,6648,CNY/T,TradingEconomics,highcharts
2025-12-09,6595,CNY/T,TradingEconomics,highcharts
2025-12-10,6556,CNY/T,TradingEconomics,highcharts
2025-12-11,6579,CNY/T,TradingEconomics,highcharts
2025-12-12,6506,CNY/T,TradingEconomics,highcharts
2025-12-15,6540,CNY/T,TradingEconomics,highcharts
2025-12-16,6515,CNY/T,TradingEconomics,highcharts
2025-12-17,6474,CNY/T,TradingEconomics,highcharts
2025-12-18,6467,CNY/T,TradingEconomics,highcharts
2025-12-19,6348,CNY/T,TradingEconomics,highcharts
2025-12-22,6242,CNY/T,TradingEconomics,highcharts
2025-12-23,6242,CNY/T,TradingEconomics,highcharts
2025-12-24,6297,CNY/T,TradingEconomics,highcharts
2025-12-25,6317,CNY/T,TradingEconomics,highcharts
2025-12-26,6294,CNY/T,TradingEconomics,highcharts
2025-12-29,6329,CNY/T,TradingEconomics,highcharts
2025-12-30,6300,CNY/T,TradingEconomics,highcharts
2025-12-31,6300,CNY/T,TradingEconomics,highcharts
2026-01-05,6314,CNY/T,TradingEconomics,highcharts
2026-01-06,6355,CNY/T,TradingEconomics,highcharts
2026-01-07,6455,CNY/T,TradingEconomics,highcharts
2026-01-08,6487,CNY/T,TradingEconomics,highcharts
2026-01-09,6474,CNY/T,TradingEconomics,highcharts
2026-01-12,6507,CNY/T,TradingEconomics,highcharts
2026-01-13,6573,CNY/T,TradingEconomics,highcharts
2026-01-14,6669,CNY/T,TradingEconomics,highcharts
2026-01-15,6703,CNY/T,TradingEconomics,highcharts
2026-01-16,6622,CNY/T,TradingEconomics,highcharts
2026-01-19,6588,CNY/T,TradingEconomics,highcharts
2026-01-20,6521,CNY/T,TradingEconomics,highcharts
2026-01-21,6528,CNY/T,TradingEconomics,highcharts
2026-01-22,6615,CNY/T,TradingEconomics,highcharts
2026-01-23,6732,CNY/T,TradingEconomics,highcharts
