date,usd_idr
2025-01-02,16230.5
2025-01-03,16201.099609375
2025-01-06,16178.7998046875
2025-01-07,16179.099609375
2025-01-08,16157.7001953125
2025-01-09,16187.599609375
2025-01-10,16237.0
2025-01-13,16268.0
2025-01-14,16295.2001953125
2025-01-15,16320.0
2025-01-16,16360.7998046875
2025-01-17,16368.7998046875
2025-01-20,16367.099609375
2025-01-21,16245.0
2025-01-22,16330.7998046875
2025-01-23,16232.7998046875
2025-01-24,16230.900390625
2025-01-27,16164.900390625
2025-01-28,16155.599609375
2025-01-29,15881.2001953125
2025-01-30,16238.0
2025-01-31,16274.5
2025-02-03,16341.2998046875
2025-02-04,16320.0
2025-02-05,16299.099609375
2025-02-06,16298.099609375
2025-02-07,16327.0
2025-02-10,16314.7001953125
2025-02-11,16330.099609375
2025-02-12,16343.2998046875
2025-02-13,16375.0
2025-02-14,16219.0
2025-02-17,16173.0
2025-02-18,16220.0
2025-02-19,16317.0
2025-02-20,16346.400390625
2025-02-21,16245.099609375
2025-02-24,16278.0
2025-02-25,16279.2998046875
2025-02-26,16314.0
2025-02-27,16367.400390625
2025-02-28,16553.69921875
2025-03-03,16522.0
2025-03-04,16451.19921875
2025-03-05,16379.0
2025-03-06,16268.900390625
2025-03-07,16322.099609375
2025-03-10,16292.599609375
2025-03-11,16324.0
2025-03-12,16433.900390625
2025-03-13,16305.599609375
2025-03-14,16259.2998046875
2025-03-17,16321.0
2025-03-18,16370.0
2025-03-19,16514.5
2025-03-20,16330.2998046875
2025-03-21,16428.5
2025-03-24,16519.0
2025-03-25,16575.80078125
2025-03-26,16621.0
2025-03-27,16629.0
2025-03-28,16560.900390625
2025-03-31,16575.0
2025-04-01,16652.0
2025-04-02,16731.400390625
2025-04-03,16739.0
2025-04-04,16739.80078125
2025-04-07,16738.0
2025-04-08,16855.69921875
2025-04-09,17051.900390625
2025-04-10,16805.5
2025-04-11,16833.80078125
2025-04-14,16788.0
2025-04-15,16780.0
2025-04-16,16813.5
2025-04-17,16794.599609375
2025-04-22,16814.900390625
2025-04-23,16858.099609375
2025-04-24,16846.0
2025-04-25,16778.5
2025-04-28,16823.0
2025-04-29,16795.0
2025-04-30,16711.900390625
2025-05-01,16545.900390625
2025-05-02,16606.0
2025-05-05,16460.0
2025-05-06,16421.5
2025-05-07,16432.0
2025-05-08,16492.599609375
2025-05-09,16538.30078125
2025-05-12,16543.0
2025-05-13,16688.80078125
2025-05-14,16599.400390625
2025-05-15,16558.19921875
2025-05-16,16511.80078125
2025-05-19,16487.0
2025-05-20,16428.0
2025-05-21,16403.0
2025-05-22,16347.599609375
2025-05-23,16356.900390625
2025-05-26,16211.0
2025-05-27,16243.5
2025-05-28,16279.0
2025-05-29,16286.0
2025-05-30,16293.0
2025-06-02,16322.0
2025-06-03,16288.5
2025-06-04,16332.400390625
2025-06-05,16291.5
2025-06-06,16246.400390625
2025-06-09,16309.0
2025-06-10,16278.7998046875
2025-06-11,16247.7998046875
2025-06-12,15778.0
2025-06-13,16164.5
2025-06-16,16282.599609375
2025-06-17,15801.0
2025-06-18,16275.0
2025-06-19,15598.5
2025-06-20,16390.0
2025-06-23,16431.0
2025-06-24,16370.0
2025-06-25,16290.0
2025-06-26,16290.0
2025-06-27,16222.7998046875
2025-06-30,16229.0
2025-07-01,16230.0
2025-07-02,16236.400390625
2025-07-03,16235.0
2025-07-04,16203.7001953125
2025-07-07,16178.0
2025-07-08,16318.900390625
2025-07-09,16261.0
2025-07-10,16235.0
2025-07-11,16209.099609375
2025-07-14,16222.0
2025-07-15,16256.2001953125
2025-07-16,16252.099609375
2025-07-17,16271.2001953125
2025-07-18,16329.7001953125
2025-07-21,16321.0
2025-07-22,16329.5
2025-07-23,16245.2998046875
2025-07-24,16266.099609375
2025-07-25,16307.0
2025-07-28,16353.0
2025-07-29,16398.80078125
2025-07-30,16367.900390625
2025-07-31,16426.80078125
2025-08-01,16483.0
2025-08-04,16483.0
2025-08-05,16362.0
2025-08-06,16377.5
2025-08-07,16334.7001953125
2025-08-08,16300.0
2025-08-11,16249.0
2025-08-12,16298.0
2025-08-13,16248.2001953125
2025-08-14,16109.0
2025-08-15,16169.0
2025-08-18,16196.0
2025-08-19,16205.400390625
2025-08-20,16275.2001953125
2025-08-21,16263.599609375
2025-08-22,16339.7001953125
2025-08-25,16227.0
2025-08-26,16267.0
2025-08-27,16299.2001953125
2025-08-28,16314.0
2025-08-29,16344.2998046875
2025-09-01,16409.0
2025-09-02,16405.19921875
2025-09-03,16443.900390625
2025-09-04,16463.0
2025-09-05,16452.099609375
2025-09-08,16392.0
2025-09-09,16446.099609375
2025-09-10,16449.900390625
2025-09-11,16439.0
2025-09-12,16413.599609375
2025-09-15,16401.0
2025-09-16,16364.599609375
2025-09-17,16398.099609375
2025-09-18,16418.599609375
2025-09-19,16569.099609375
2025-09-22,16637.0
2025-09-23,16582.0
2025-09-24,16633.0
2025-09-25,16695.099609375
2025-09-26,16759.099609375
2025-09-29,16723.0
2025-09-30,16628.0
2025-10-01,16683.0
2025-10-02,16644.099609375
2025-10-03,16601.5
2025-10-06,16558.0
2025-10-07,16596.5
2025-10-08,16587.0
2025-10-09,16556.0
2025-10-10,16577.69921875
2025-10-13,16598.0
2025-10-14,16548.0
2025-10-15,16585.900390625
2025-10-16,16575.0
2025-10-17,16561.900390625
2025-10-20,16566.0
2025-10-21,16542.0
2025-10-22,16598.900390625
2025-10-23,16596.599609375
2025-10-24,16593.80078125
2025-10-27,16597.80078125
2025-10-28,16158.2001953125
2025-10-29,16561.779296875
2025-10-30,16562.0
2025-10-31,16150.0
2025-11-03,16630.0
2025-11-04,16640.900390625
2025-11-05,16707.0
2025-11-06,16669.0
2025-11-07,16694.099609375
2025-11-10,16653.0
2025-11-11,16690.0
2025-11-12,16694.900390625
2025-11-13,16729.0
2025-11-14,16719.0
2025-11-17,16679.5
2025-11-18,16738.900390625
2025-11-19,16727.69921875
2025-11-20,16686.69921875
2025-11-21,16731.0
