date,plastic_price,oil_price,usd_idr,plastic_lag_1,plastic_ma_3,oil_change
2025-05-08,7282,59.90999984741211,16492.599609375,7270.0,7269.0,0.03168589912618658
2025-05-09,7246,61.02000045776367,16538.30078125,7282.0,7266.0,0.018527801922528564
2025-05-12,7252,61.95000076293945,16543.0,7246.0,7260.0,0.015240909508342337
2025-05-13,7321,63.66999816894531,16688.80078125,7252.0,7273.0,0.027764283855099103
2025-05-14,7430,63.150001525878906,16599.400390625,7321.0,7334.333333333333,-0.008167059180473335
2025-05-15,7500,61.619998931884766,16558.19921875,7430.0,7417.0,-0.02422806899485419
2025-05-16,7507,62.4900016784668,16511.80078125,7500.0,7479.0,0.014118837417438801
2025-05-19,7380,62.68999862670898,16487.0,7507.0,7462.333333333333,0.003200463160030642
2025-05-20,7312,62.560001373291016,16428.0,7380.0,7399.666666666667,-0.002073652197570386
2025-05-21,7302,61.56999969482422,16403.0,7312.0,7331.333333333333,-0.01582483466647533
2025-05-22,7263,61.20000076293945,16347.599609375,7302.0,7292.333333333333,-0.006009402853966006
2025-05-23,7153,61.52999877929688,16356.900390625,7263.0,7239.333333333333,0.0053921243830648
2025-05-26,7107,61.52999877929688,16211.0,7153.0,7174.333333333333,0.0
2025-05-27,7051,60.88999938964844,16243.5,7107.0,7103.666666666667,-0.010401420483430734
2025-05-28,7000,61.84000015258789,16279.0,7051.0,7052.666666666667,0.015601917760914796
2025-05-29,6996,60.93999862670898,16286.0,7000.0,7015.666666666667,-0.014553711572739214
2025-05-30,6978,60.790000915527344,16293.0,6996.0,6991.333333333333,-0.0024613999764006023
2025-06-03,6963,63.40999984741211,16288.5,6978.0,6979.0,0.04309917572670319
2025-06-04,7012,62.84999847412109,16332.400390625,6963.0,6984.333333333333,-0.008831436281952265
2025-06-05,7021,63.369998931884766,16291.5,7012.0,6998.666666666667,0.008273674946512433
2025-06-06,7069,64.58000183105469,16246.400390625,7021.0,7034.0,0.019094254687782586
2025-06-09,7070,65.29000091552734,16309.0,7069.0,7053.333333333333,0.010994101336975204
2025-06-10,7096,64.9800033569336,16278.7998046875,7070.0,7078.333333333333,-0.004748009714302559
2025-06-11,7080,68.1500015258789,16247.7998046875,7096.0,7082.0,0.048784210606031886
2025-06-12,7137,68.04000091552734,15778.0,7080.0,7104.333333333333,-0.0016140954935971452
2025-06-13,7137,72.9800033569336,16164.5,7137.0,7118.0,0.07260438528710988
2025-06-16,7087,71.7699966430664,16282.599609375,7137.0,7120.333333333333,-0.016579976133314744
2025-06-17,7289,74.83999633789062,15801.0,7087.0,7171.0,0.042775530701112396
2025-06-18,7389,75.13999938964844,16275.0,7289.0,7255.0,0.00400859254994268
2025-06-19,7450,75.13999938964844,15598.5,7389.0,7376.0,0.0
2025-06-20,7466,74.93000030517578,16390.0,7450.0,7435.0,-0.0027947709100140106
2025-06-23,7455,68.51000213623047,16431.0,7466.0,7457.0,-0.08567994318427696
2025-06-24,7306,64.37000274658203,16370.0,7455.0,7409.0,-0.060429123639729965
2025-06-25,7254,64.91999816894531,16290.0,7306.0,7338.333333333333,0.008544281480436622
2025-06-26,7296,65.23999786376953,16290.0,7254.0,7285.333333333333,0.004929138999533844
2025-06-27,7321,65.5199966430664,16222.7998046875,7296.0,7290.333333333333,0.004291826923133124
2025-06-30,7297,65.11000061035156,16229.0,7321.0,7304.666666666667,-0.00625757102748925
2025-07-01,7252,65.44999694824219,16230.0,7297.0,7290.0,0.005221875820971444
2025-07-02,7270,67.44999694824219,16236.400390625,7252.0,7273.0,0.030557679041323782
2025-07-03,7295,67.0,16235.0,7270.0,7272.333333333333,-0.006671563656073909
2025-07-04,7313,66.5,16203.7001953125,7295.0,7292.666666666667,-0.007462686567164201
2025-07-07,7257,67.93000030517578,16178.0,7313.0,7288.333333333333,0.021503763987605673
2025-07-08,7256,68.33000183105469,16318.900390625,7257.0,7275.333333333333,0.005888436980449052
2025-07-09,7255,68.37999725341797,16261.0,7256.0,7256.0,0.0007316759991737865
2025-07-10,7302,66.56999969482422,16235.0,7255.0,7271.0,-0.02646969335032079
2025-07-11,7288,68.44999694824219,16209.099609375,7302.0,7281.666666666667,0.028240908247505025
2025-07-14,7267,66.9800033569336,16222.0,7288.0,7285.666666666667,-0.021475436915214363
2025-07-15,7243,66.5199966430664,16256.2001953125,7267.0,7266.0,-0.006867821600662349
2025-07-16,7215,66.37999725341797,16252.099609375,7243.0,7241.666666666667,-0.0021046211171603657
2025-07-17,7209,67.54000091552734,16271.2001953125,7215.0,7222.333333333333,0.01747519900732808
2025-07-18,7225,67.33999633789062,16329.7001953125,7209.0,7216.333333333333,-0.0029612759094698182
2025-07-21,7276,67.19999694824219,16321.0,7225.0,7236.666666666667,-0.002078993128332929
2025-07-22,7306,66.20999908447266,16329.5,7276.0,7269.0,-0.014732111737029263
2025-07-23,7320,65.25,16245.2998046875,7306.0,7300.666666666667,-0.01449930671722044
2025-07-24,7339,66.02999877929688,16266.099609375,7320.0,7321.666666666667,0.011954004280411823
2025-07-25,7439,65.16000366210938,16307.0,7339.0,7366.0,-0.013175755463746608
2025-07-28,7367,66.70999908447266,16353.0,7439.0,7381.666666666667,0.023787528165297056
2025-07-29,7369,69.20999908447266,16398.80078125,7367.0,7391.666666666667,0.03747564134777348
2025-07-30,7402,70.0,16367.900390625,7369.0,7379.333333333333,0.011414548850999573
2025-07-31,7369,69.26000213623047,16426.80078125,7402.0,7380.0,-0.010571398053850434
2025-08-01,7336,67.33000183105469,16483.0,7369.0,7369.0,-0.02786601567495739
2025-08-04,7276,66.29000091552734,16483.0,7336.0,7327.0,-0.01544632240077648
2025-08-05,7288,65.16000366210938,16362.0,7276.0,7300.0,-0.017046269992633034
2025-08-06,7318,64.3499984741211,16377.5,7288.0,7294.0,-0.012431018147092243
2025-08-07,7302,63.880001068115234,16334.7001953125,7318.0,7302.666666666667,-0.007303767166286335
2025-08-08,7294,63.880001068115234,16300.0,7302.0,7304.666666666667,0.0
2025-08-11,7302,63.959999084472656,16249.0,7294.0,7299.333333333333,0.0012523170792080318
2025-08-12,7328,63.16999816894531,16298.0,7302.0,7308.0,-0.012351484159403792
2025-08-13,7320,62.650001525878906,16248.2001953125,7328.0,7316.666666666667,-0.008231702677522601
2025-08-14,7300,63.959999084472656,16109.0,7320.0,7316.0,0.0209097769622979
2025-08-15,7295,62.79999923706055,16169.0,7300.0,7305.0,-0.018136333083433653
2025-08-18,7292,63.41999816894531,16196.0,7295.0,7295.666666666667,0.009872594576703086
2025-08-19,7284,62.34999847412109,16205.400390625,7292.0,7290.333333333333,-0.016871644997116575
2025-08-20,7265,63.209999084472656,16275.2001953125,7284.0,7280.333333333333,0.013793113574950944
2025-08-21,7330,63.52000045776367,16263.599609375,7265.0,7293.0,0.004904309093197945
2025-08-22,7332,63.65999984741211,16339.7001953125,7330.0,7309.0,0.002204020602007528
2025-08-25,7352,64.80000305175781,16227.0,7332.0,7338.0,0.017907684685488423
2025-08-26,7373,63.25,16267.0,7352.0,7352.333333333333,-0.023919799054944124
2025-08-27,7338,64.1500015258789,16299.2001953125,7373.0,7354.333333333333,0.014229273136425302
2025-08-28,7303,64.5999984741211,16314.0,7338.0,7338.0,0.007014761302237105
2025-08-29,7291,64.01000213623047,16344.2998046875,7303.0,7310.666666666667,-0.009133070461711856
2025-09-01,7243,64.01000213623047,16409.0,7291.0,7279.0,0.0
2025-09-02,7251,65.58999633789062,16405.19921875,7243.0,7261.666666666667,0.024683551772073153
2025-09-03,7245,63.970001220703125,16443.900390625,7251.0,7246.333333333333,-0.024698813960013055
2025-09-04,7211,63.47999954223633,16463.0,7245.0,7235.666666666667,-0.007659866642432012
2025-09-05,7214,61.869998931884766,16452.099609375,7211.0,7223.333333333333,-0.025362328638335097
2025-09-08,7211,62.2599983215332,16392.0,7214.0,7212.0,0.00630352992373262
2025-09-09,7203,62.630001068115234,16446.099609375,7211.0,7209.333333333333,0.005942864705379636
2025-09-10,7205,63.66999816894531,16449.900390625,7203.0,7206.333333333333,0.016605414068235458
2025-09-11,7194,62.369998931884766,16439.0,7205.0,7200.666666666667,-0.02041776777833515
2025-09-12,7157,62.68999862670898,16413.599609375,7194.0,7185.333333333333,0.0051306669922135395
2025-09-15,7170,63.29999923706055,16401.0,7157.0,7173.666666666667,0.009730429473828073
2025-09-16,7209,64.5199966430664,16364.599609375,7170.0,7178.666666666667,0.019273260990682273
2025-09-17,7195,64.05000305175781,16398.099609375,7209.0,7191.333333333333,-0.00728446397647331
2025-09-18,7159,63.56999969482422,16418.599609375,7195.0,7187.666666666667,-0.007494197253132273
2025-09-19,7128,62.68000030517578,16569.099609375,7159.0,7160.666666666667,-0.014000305079770237
2025-09-22,7107,62.63999938964844,16637.0,7128.0,7131.333333333333,-0.0006381766964356217
2025-09-23,7073,63.40999984741211,16582.0,7107.0,7102.666666666667,0.012292472306296265
2025-09-24,7109,64.98999786376953,16633.0,7073.0,7096.333333333333,0.024917174265249642
2025-09-25,7123,64.9800033569336,16695.099609375,7109.0,7101.666666666667,-0.00015378530796217316
2025-09-26,7103,65.72000122070312,16759.099609375,7123.0,7111.666666666667,0.011388085957840577
2025-09-29,7114,63.45000076293945,16723.0,7103.0,7113.333333333333,-0.03454048106512475
2025-09-30,7100,62.369998931884766,16628.0,7114.0,7105.666666666667,-0.017021305249305896
2025-10-09,7039,61.5099983215332,16556.0,7100.0,7084.333333333333,-0.013788690477464671
2025-10-10,7032,58.900001525878906,16577.69921875,7039.0,7057.0,-0.0424320739209092
2025-10-13,6989,59.4900016784668,16598.0,7032.0,7020.0,0.010016980259816455
2025-10-14,6922,58.70000076293945,16548.0,6989.0,6981.0,-0.013279557795226826
2025-10-15,6895,58.27000045776367,16585.900390625,6922.0,6935.333333333333,-0.007325388408636391
2025-10-16,6889,57.459999084472656,16575.0,6895.0,6902.0,-0.013900830048527935
2025-10-17,6868,57.540000915527344,16561.900390625,6889.0,6884.0,0.0013923047742669947
2025-10-20,6890,57.52000045776367,16566.0,6868.0,6882.333333333333,-0.00034759223923253035
2025-10-21,6865,57.81999969482422,16542.0,6890.0,6874.333333333333,0.005215563885136554
2025-10-22,6908,58.5,16598.900390625,6865.0,6887.666666666667,0.011760641798077565
2025-10-23,6952,61.790000915527344,16596.599609375,6908.0,6908.333333333333,0.05623933188935637
2025-10-24,6955,61.5,16593.80078125,6952.0,6938.333333333333,-0.004693330817777452
2025-10-27,6966,61.310001373291016,16597.80078125,6955.0,6957.666666666667,-0.0030894085643736746
2025-10-28,6973,60.150001525878906,16158.2001953125,6966.0,6964.666666666667,-0.018920238483593477
2025-10-29,6953,60.47999954223633,16561.779296875,6973.0,6964.0,0.005486251171838097
2025-10-30,6961,60.56999969482422,16562.0,6953.0,6962.333333333333,0.001488097772306407
2025-10-31,6914,60.97999954223633,16150.0,6961.0,6942.666666666667,0.0067690250863108314
2025-11-03,6874,61.04999923706055,16630.0,6914.0,6916.333333333333,0.0011479123540454328
2025-11-04,6848,60.560001373291016,16640.900390625,6874.0,6878.666666666667,-0.008026173135020742
2025-11-05,6798,59.59999847412109,16707.0,6848.0,6840.0,-0.01585209506935914
2025-11-06,6748,59.43000030517578,16669.0,6798.0,6798.0,-0.0028523183439194133
2025-11-07,6776,59.75,16694.099609375,6748.0,6774.0,0.005384480787161472
2025-11-10,6759,60.130001068115234,16653.0,6776.0,6761.0,0.006359850512388965
2025-11-11,6774,61.040000915527344,16690.0,6759.0,6769.666666666667,0.015133873794235697
2025-11-12,6769,58.4900016784668,16694.900390625,6774.0,6767.333333333333,-0.04177587154019646
2025-11-13,6774,58.68999862670898,16729.0,6769.0,6772.333333333333,0.0034193356557179477
2025-11-14,6860,60.09000015258789,16719.0,6774.0,6801.0,0.023854175475168438
2025-11-17,6850,59.90999984741211,16679.5,6860.0,6828.0,-0.0029955118109286083
2025-11-18,6818,60.7400016784668,16738.900390625,6850.0,6842.666666666667,0.01385414510380012
2025-11-19,6813,59.43999862670898,16727.69921875,6818.0,6827.0,-0.021402749684458544
2025-11-20,6814,59.13999938964844,16686.69921875,6813.0,6815.0,-0.00504709360685851
2025-11-21,6805,58.060001373291016,16731.0,6814.0,6810.666666666667,-0.018261718422446616
2025-11-24,6781,58.84000015258789,16639.0,6805.0,6800.0,0.013434356886799836
2025-11-25,6796,57.95000076293945,16645.0,6781.0,6794.0,-0.015125754373562672
2025-11-26,6740,58.650001525878906,16633.5,6796.0,6772.333333333333,0.012079391781252946
2025-11-27,6715,58.650001525878906,16614.69921875,6740.0,6750.333333333333,0.0
2025-11-28,6746,58.54999923706055,16603.900390625,6715.0,6733.666666666667,-0.001705068818697919
2025-12-01,6799,59.31999969482422,16635.0,6746.0,6753.333333333333,0.013151160850507493
2025-12-02,6821,58.63999938964844,16609.0,6799.0,6788.666666666667,-0.011463255372118786
2025-12-03,6812,58.95000076293945,16609.900390625,6821.0,6810.666666666667,0.005286517334884833
2025-12-04,6783,59.66999816894531,16594.0,6812.0,6805.333333333333,0.012213696296650589
2025-12-05,6711,60.08000183105469,16654.400390625,6783.0,6768.666666666667,0.0068711861017412
2025-12-08,6648,58.880001068115234,16683.0,6711.0,6714.0,-0.019973380931542994
2025-12-09,6595,58.25,16686.0,6648.0,6651.333333333333,-0.010699746207314398
2025-12-10,6556,58.459999084472656,16662.0,6595.0,6599.666666666667,0.0036051344973846433
2025-12-11,6579,57.59999847412109,16639.0,6556.0,6576.666666666667,-0.014710924115973745
2025-12-12,6506,57.43999862670898,16649.0,6579.0,6547.0,-0.0027777752022684066
2025-12-15,6540,56.81999969482422,16623.099609375,6506.0,6541.666666666667,-0.010793853529036612
2025-12-16,6515,55.27000045776367,16645.80078125,6540.0,6520.333333333333,-0.027279113787143094
2025-12-17,6474,55.93999862670898,16644.599609375,6515.0,6509.666666666667,0.012122275436876606
2025-12-18,6467,56.150001525878906,16657.0,6474.0,6485.333333333333,0.0037540740851871313
2025-12-19,6348,56.65999984741211,16685.19921875,6467.0,6429.666666666667,0.009082783751985346
2025-12-22,6242,58.0099983215332,16678.5,6348.0,6352.333333333333,0.023826305643429135
2025-12-23,6242,58.380001068115234,16756.400390625,6242.0,6277.333333333333,0.006378258184584151
2025-12-24,6297,58.34999847412109,16735.0,6242.0,6260.333333333333,-0.0005139190381161507
2025-12-25,6317,58.34999847412109,16735.0,6297.0,6285.333333333333,0.0
2025-12-26,6294,56.7400016784668,16753.099609375,6317.0,6302.666666666667,-0.027592062343726353
2025-12-29,6329,58.08000183105469,16741.099609375,6294.0,6313.333333333333,0.023616498289537935
2025-12-30,6300,57.95000076293945,16770.0,6329.0,6307.666666666667,-0.002238310330867188
2025-12-31,6300,57.41999816894531,16709.0,6300.0,6309.666666666667,-0.009145860000283057
2026-01-05,6314,58.31999969482422,16683.0,6300.0,6304.666666666667,0.015674008265044836
2026-01-06,6355,57.130001068115234,16727.19921875,6314.0,6323.0,-0.020404640482441505
2026-01-07,6455,55.9900016784668,16742.0,6355.0,6374.666666666667,-0.01995447870356648
2026-01-08,6487,57.7599983215332,16753.0,6455.0,6432.333333333333,0.03161272709422214
2026-01-09,6474,59.119998931884766,16805.69921875,6487.0,6472.0,0.023545717622442286
2026-01-12,6507,59.5,16826.69921875,6474.0,6489.333333333333,0.006427623054476861
2026-01-13,6573,61.150001525878906,16859.400390625,6507.0,6518.0,0.02773111808199835
2026-01-14,6669,62.02000045776367,16840.80078125,6573.0,6583.0,0.01422729207155582
2026-01-15,6703,59.18999862670898,16845.099609375,6669.0,6648.333333333333,-0.04563047097979234
2026-01-16,6622,59.43999862670898,16878.900390625,6703.0,6664.666666666667,0.004223686531514614
2026-01-19,6588,59.43999862670898,16876.599609375,6622.0,6637.666666666667,0.0
2026-01-20,6521,60.34000015258789,16939.0,6588.0,6577.0,0.015141344997853023
2026-01-21,6528,60.619998931884766,16960.099609375,6521.0,6545.666666666667,0.004640350987550779
2026-01-22,6615,59.36000061035156,16897.0,6528.0,6554.666666666667,-0.020785192077436232
2026-01-23,6732,61.06999969482422,16820.0,6615.0,6625.0,0.028807261908526005
2026-01-26,6789,60.630001068115234,16770.0,6732.0,6712.0,-0.007204824445844471
2026-01-27,6739,62.38999938964844,16734.0,6789.0,6753.333333333333,0.02902850553401648
2026-01-28,6831,63.209999084472656,16674.69921875,6739.0,6786.333333333333,0.013143127149321199
2026-01-29,6884,65.41999816894531,16722.80078125,6831.0,6818.0,0.034962808360734954
2026-01-30,6898,65.20999908447266,16778.30078125,6884.0,6871.0,-0.0032100136097579224
2026-02-02,6794,62.13999938964844,16758.400390625,6898.0,6858.666666666667,-0.04707866489688739
2026-02-03,6735,63.209999084472656,16758.400390625,6794.0,6809.0,0.017219177749178805
2026-02-04,6902,65.13999938964844,16759.0,6735.0,6810.333333333333,0.03053314876016011
2026-02-05,6823,63.290000915527344,16800.0,6902.0,6820.0,-0.028400345278711825
2026-02-06,6763,63.54999923706055,16879.900390625,6823.0,6829.333333333333,0.004108047365652956
2026-02-09,6759,64.36000061035156,16843.5,6763.0,6781.666666666667,0.01274589115681124
2026-02-10,6750,63.959999084472656,16796.0,6759.0,6757.333333333333,-0.006215064047320307
2026-02-11,6783,64.62999725341797,16778.0,6750.0,6764.0,0.010475268582484487
2026-02-12,6786,62.84000015258789,16793.900390625,6783.0,6773.0,-0.02769607267367502
2026-02-13,6681,62.88999938964844,16809.0,6786.0,6750.0,0.0007956594038691644
2026-02-24,6786,65.62999725341797,16804.30078125,6681.0,6751.0,0.04356810129370947
2026-02-25,6801,65.41999816894531,16816.80078125,6786.0,6756.0,-0.0031997423931283686
2026-02-26,6737,65.20999908447266,16749.80078125,6801.0,6774.666666666667,-0.0032100136097579224
2026-02-27,6596,67.0199966430664,16749.0,6737.0,6711.333333333333,0.027756442018180172
2026-03-02,6793,71.2300033569336,16795.0,6596.0,6708.666666666667,0.06281717285497268
2026-03-03,7093,74.55999755859375,16863.0,6793.0,6827.333333333333,0.046749881296137996
2026-03-04,7337,74.66000366210938,16898.099609375,7093.0,7074.333333333333,0.0013412836211137424
2026-03-05,7404,81.01000213623047,16865.0,7337.0,7278.0,0.0850522121973023
2026-03-06,7495,90.9000015258789,16913.099609375,7404.0,7412.0,0.12208368261757263
2026-03-09,7915,94.7699966430664,16923.69921875,7495.0,7604.666666666667,0.04257420299476822
2026-03-10,7980,83.44999694824219,16886.0,7915.0,7796.666666666667,-0.11944708342091537
2026-03-11,7906,87.25,16852.0,7980.0,7933.666666666667,0.045536287486201754
2026-03-12,8405,95.7300033569336,16884.0,7906.0,8097.0,0.09719201555224743
2026-03-13,8430,98.70999908447266,16908.0,8405.0,8247.0,0.031129171869220817
2026-03-16,8632,93.5,16952.099609375,8430.0,8489.0,-0.0527808644797384
2026-03-17,8497,96.20999908447266,16953.099609375,8632.0,8519.666666666666,0.02898394742751509
2026-03-18,8533,96.31999969482422,16971.30078125,8497.0,8554.0,0.0011433386487715858
2026-03-19,8902,96.13999938964844,17041.69921875,8533.0,8644.0,-0.0018687739383937974
2026-03-20,8737,98.31999969482422,16915.900390625,8902.0,8724.0,0.02267526855643509
2026-03-23,9248,88.12999725341797,16959.30078125,8737.0,8962.333333333334,-0.10364119683721551
2026-03-24,9098,92.3499984741211,16865.099609375,9248.0,9027.666666666666,0.04788382335436259
2026-03-25,8679,90.31999969482422,16797.30078125,9098.0,9008.333333333334,-0.02198157891540986
2026-03-26,8719,94.4800033569336,16749.599609375,8679.0,8832.0,0.046058499514673557
2026-03-27,8801,99.63999938964844,16925.0,8719.0,8733.0,0.05461468934564939
2026-03-30,9018,102.87999725341795,16958.0,8801.0,8846.0,0.03251704018081436
2026-03-31,8693,101.37999725341795,16975.400390625,9018.0,8837.333333333334,-0.014580093701841212
2026-04-01,8559,100.12000274658205,16936.400390625,8693.0,8756.666666666666,-0.012428433033849107
2026-04-02,8582,111.54000091552734,16924.099609375,8559.0,8611.333333333334,0.11406310283321641
2026-04-03,8640,111.54000091552734,16959.0,8582.0,8593.666666666666,0.0
2026-04-07,9225,112.9499969482422,17015.30078125,8640.0,8815.666666666666,0.012641169276865094
2026-04-08,8824,94.41000366210938,17027.400390625,9225.0,8896.333333333334,-0.16414337128869982
2026-04-09,8512,97.87000274658205,17005.5,8824.0,8853.666666666666,0.03664864898063036
2026-04-10,8479,96.56999969482422,17059.0,8512.0,8605.0,-0.013282957139829299
2026-04-13,8380,99.08000183105467,17083.0,8479.0,8457.0,0.025991530953323405
2026-04-14,8312,91.27999877929688,17079.19921875,8380.0,8390.333333333334,-0.07872429256771618
2026-04-15,8054,91.29000091552734,17129.0,8312.0,8248.666666666666,0.00010957642817954749
2026-04-16,8046,94.69000244140624,17146.099609375,8054.0,8137.333333333333,0.03724396419959497
2026-04-17,8131,83.8499984741211,17123.0,8046.0,8077.0,-0.11447886458755652
2026-04-20,7968,89.61000061035156,17133.0,8131.0,8048.333333333333,0.06869412332795921
2026-04-21,7944,92.12999725341795,17123.80078125,7968.0,8014.333333333333,0.028121823746258157
2026-04-22,8048,92.95999908447266,17133.099609375,7944.0,7986.666666666667,0.009009029152271086
2026-04-23,8112,95.8499984741211,17199.5,8048.0,8034.666666666667,0.03108863401582318
2026-04-24,8144,94.4000015258789,17329.0,8112.0,8101.333333333333,-0.0151277722621318
2026-04-27,8183,96.37000274658205,17246.0,8144.0,8146.333333333333,0.020868656661653606
2026-04-28,8283,99.93000030517578,17216.0,8183.0,8203.333333333334,0.0369409303427668
2026-04-29,8410,106.87999725341795,17244.0,8283.0,8292.0,0.06954865332750537
2026-04-30,8441,105.06999969482422,17334.19921875,8410.0,8378.0,-0.016934857832211048
